Wall time,Step,Value
1660577571.030771,0,0.8623437881469727
1660577647.257508,1,0.9809978008270264
1660577723.709242,2,0.9867091774940491
1660577800.080901,3,0.9899882674217224
1660577876.659003,4,0.9918159246444702
1660577953.509943,5,0.9926924109458923
1660578030.238557,6,0.993423342704773
1660578107.014556,7,0.9938033223152161
1660578183.758739,8,0.9942420721054077
1660578260.319738,9,0.9944321513175964
1660578337.045298,10,0.9946733117103577
1660578413.758747,11,0.9950068593025208
1660578490.551495,12,0.994769275188446
1660578567.205718,13,0.9953246712684631
1660578643.833824,14,0.9953676462173462
1660578720.490859,15,0.995408833026886
1660578797.214783,16,0.9954872131347656
1660578874.004701,17,0.9952971339225769
1660578950.772604,18,0.9958425164222717
1660579027.485498,19,0.9956730604171753
1660579104.142531,20,0.9958304762840271
1660579180.702883,21,0.99591064453125
1660579257.366208,22,0.9959614872932434
1660579334.023076,23,0.9958931803703308
1660579410.565875,24,0.9962540864944458
1660579487.265514,25,0.9960260987281799
1660579563.811596,26,0.9958524107933044
1660579640.498229,27,0.996341347694397
1660579717.156877,28,0.99627685546875
1660579793.707296,29,0.9962718486785889
1660579870.296629,30,0.9961862564086914
1660579946.836978,31,0.9961488842964172
1660580023.375115,32,0.9962818026542664
1660580099.943227,33,0.9964177012443542
1660580176.601313,34,0.996161937713623
1660580253.145878,35,0.996611475944519
1660580329.815762,36,0.9964529871940613
1660580406.402149,37,0.9965664148330688
1660580482.962938,38,0.996540904045105
1660580559.618114,39,0.9963839054107666
1660580636.197429,40,0.9966146349906921
1660580712.784924,41,0.9965699315071106
1660580789.301288,42,0.9968467354774475
1660580865.825129,43,0.9960984587669373
1660580942.434115,44,0.9967846274375916
1660581019.046285,45,0.9969499111175537
1660581095.957892,46,0.9968997836112976
1660581172.767563,47,0.9965843558311462
1660581249.445388,48,0.9967991709709167
1660581325.996915,49,0.9966523051261902
