Wall time,Step,Value
1660577571.029949,0,1.3884997367858887
1660577647.256645,1,0.8503208756446838
1660577723.708425,2,0.7055091857910156
1660577800.080119,3,0.6154906749725342
1660577876.658159,4,0.550515353679657
1660577953.509295,5,0.5005321502685547
1660578030.237698,6,0.4555971622467041
1660578107.01378,7,0.41893520951271057
1660578183.757907,8,0.3846946954727173
1660578260.319106,9,0.3576905429363251
1660578337.044438,10,0.33277153968811035
1660578413.757949,11,0.30786630511283875
1660578490.550669,12,0.29424017667770386
1660578567.204894,13,0.2723493278026581
1660578643.833257,14,0.2577957808971405
1660578720.490054,15,0.24521933495998383
1660578797.213961,16,0.23285749554634094
1660578874.003956,17,0.22641904652118683
1660578950.771784,18,0.21105627715587616
1660579027.484716,19,0.20531004667282104
1660579104.141842,20,0.19634006917476654
1660579180.70213,21,0.1891961395740509
1660579257.365428,22,0.1826196163892746
1660579334.022279,23,0.17844805121421814
1660579410.565339,24,0.16807834804058075
1660579487.264706,25,0.16610966622829437
1660579563.810838,26,0.16435444355010986
1660579640.49739,27,0.1548854410648346
1660579717.156052,28,0.15134645998477936
1660579793.706472,29,0.14832445979118347
1660579870.295919,30,0.1458977311849594
1660579946.836276,31,0.14439821243286133
1660580023.374381,32,0.13947290182113647
1660580099.94159,33,0.13565939664840698
1660580176.600489,34,0.13712292909622192
1660580253.145106,35,0.12853410840034485
1660580329.814982,36,0.12779328227043152
1660580406.401348,37,0.12433471530675888
1660580482.96224,38,0.12264176458120346
1660580559.617258,39,0.12429995834827423
1660580636.196649,40,0.11921580135822296
1660580712.784263,41,0.11815336346626282
1660580789.300501,42,0.11354326456785202
1660580865.824444,43,0.12260813266038895
1660580942.433421,44,0.11219077557325363
1660581019.045632,45,0.10857537388801575
1660581095.957076,46,0.10707595944404602
1660581172.766723,47,0.11032460629940033
1660581249.444584,48,0.1067676991224289
1660581325.996113,49,0.10801355540752411
