Wall time,Step,Value
1660323466.660916,0,4.5656609535217285
1660323497.81684,1,3.461073875427246
1660323518.551817,2,3.092665672302246
1660323539.27345,3,2.8754372596740723
1660323559.987139,4,2.6991655826568604
1660323580.619271,5,2.574022054672241
1660323611.302568,6,2.493530035018921
1660323632.04641,7,2.262477159500122
1660323652.796963,8,2.134070873260498
1660323673.576395,9,2.0358712673187256
1660323694.351305,10,1.967837929725647
1660323724.8427,11,1.882637619972229
1660323745.634252,12,1.8129158020019531
1660323766.43163,13,1.7599519491195679
1660323787.134115,14,1.7369842529296875
1660323807.941425,15,1.7658179998397827
1660323838.248972,16,1.6645209789276123
1660323859.05698,17,1.627030611038208
1660323879.783975,18,1.5928359031677246
1660323900.510427,19,1.6168212890625
1660323921.226787,20,1.5860177278518677
1660323951.417873,21,1.5278533697128296
1660323972.191124,22,1.5187419652938843
1660323993.127728,23,1.5161304473876953
1660324013.964442,24,1.4816426038742065
1660324034.761169,25,1.4371755123138428
1660324065.101411,26,1.4146103858947754
1660324085.83375,27,1.383878469467163
1660324106.587964,28,1.3713202476501465
1660324127.419414,29,1.3650850057601929
1660324148.212525,30,1.3600984811782837
1660324178.784554,31,1.356288194656372
1660324199.508891,32,1.3300350904464722
1660324220.255491,33,1.3756235837936401
1660324241.098213,34,1.3023812770843506
1660324261.813289,35,1.2712156772613525
1660324292.291707,36,1.2468172311782837
1660324313.014085,37,1.257508635520935
1660324333.753408,38,1.229400873184204
1660324354.51557,39,1.2317079305648804
1660324375.283184,40,1.7938750982284546
1660324405.754812,41,1.3466984033584595
1660324426.590454,42,1.245967984199524
1660324447.434359,43,1.202833652496338
1660324468.194828,44,1.1727577447891235
1660324488.946667,45,1.1531084775924683
1660324519.294402,46,1.1352447271347046
1660324540.018904,47,1.121268391609192
1660324560.748827,48,1.1137431859970093
1660324581.487477,49,1.1853219270706177
1660324602.338584,50,1.156342625617981
1660324632.77161,51,1.103537678718567
1660324653.525752,52,1.086424469947815
1660324674.263557,53,1.0822862386703491
1660324694.991111,54,1.0644952058792114
1660324715.730407,55,1.0683190822601318
1660324746.061715,56,1.2278072834014893
1660324766.790212,57,1.1561516523361206
1660324787.536385,58,1.0520175695419312
1660324808.2688,59,1.0254261493682861
1660324829.017534,60,1.0113097429275513
1660324859.549748,61,1.0047390460968018
1660324880.360518,62,1.0042402744293213
1660324901.088319,63,1.0130970478057861
1660324921.825917,64,1.0220838785171509
1660324942.557557,65,0.9870814085006714
1660324972.83937,66,0.9726531505584717
1660324993.660865,67,0.9777255654335022
1660325014.371018,68,0.9966638088226318
1660325035.092913,69,1.0666298866271973
1660325055.818956,70,0.9495238065719604
1660325086.366838,71,0.9260117411613464
1660325107.103398,72,0.9123594164848328
1660325127.874353,73,0.9265982508659363
1660325148.597588,74,0.9381315112113953
1660325169.363987,75,0.9492634534835815
1660325199.627711,76,0.9853223562240601
1660325220.367707,77,0.9054725170135498
1660325241.114893,78,0.9693460464477539
1660325261.955253,79,1.0180575847625732
1660325282.670172,80,0.8830421566963196
1660325313.092938,81,0.8626581430435181
1660325333.822264,82,0.8527317047119141
1660325354.597388,83,0.8513960242271423
1660325375.337882,84,0.8604814410209656
1660325396.07058,85,0.8578951954841614
1660325426.373457,86,0.8575241565704346
1660325447.093742,87,0.8521794676780701
1660325467.841595,88,0.8694249391555786
1660325488.601689,89,0.8374978303909302
1660325509.360484,90,0.8260144591331482
1660325539.665694,91,0.8286841511726379
1660325560.46947,92,0.8573640584945679
1660325581.283119,93,0.9192039966583252
1660325601.997257,94,0.843550443649292
1660325622.735846,95,0.7940493226051331
1660325652.936465,96,0.7843502163887024
1660325673.627987,97,0.7906745672225952
1660325694.330105,98,0.798172116279602
1660325715.045891,99,0.8271913528442383
