Wall time,Step,Value
1660577571.03165,0,0.5032137632369995
1660577647.258307,1,0.7728766202926636
1660577723.710019,2,0.8391380906105042
1660577800.081683,3,0.8776326179504395
1660577876.659818,4,0.8990344405174255
1660577953.510678,5,0.9094959497451782
1660578030.239423,6,0.9186789989471436
1660578107.01534,7,0.9230778217315674
1660578183.759508,8,0.9288507103919983
1660578260.320399,9,0.931163489818573
1660578337.046156,10,0.9342259168624878
1660578413.75955,11,0.9384394288063049
1660578490.552302,12,0.9353869557380676
1660578567.206476,13,0.942438542842865
1660578643.834446,14,0.9428755044937134
1660578720.491626,15,0.9434508681297302
1660578797.215476,16,0.9444150924682617
1660578874.00547,17,0.9420621991157532
1660578950.773387,18,0.9489008188247681
1660579027.486253,19,0.9467174410820007
1660579104.143213,20,0.9488133192062378
1660579180.703661,21,0.949630856513977
1660579257.36703,22,0.9502729773521423
1660579334.023879,23,0.9492710828781128
1660579410.566437,24,0.9539564847946167
1660579487.266302,25,0.9509637951850891
1660579563.812312,26,0.9489811658859253
1660579640.499001,27,0.9550275206565857
1660579717.157642,28,0.954358696937561
1660579793.708002,29,0.9540632963180542
1660579870.297291,30,0.953097939491272
1660579946.837557,31,0.9525192975997925
1660580023.375845,32,0.9541733860969543
1660580099.944631,33,0.955927848815918
1660580176.602121,34,0.9528789520263672
1660580253.146586,35,0.9584235548973083
1660580329.816533,36,0.9563718438148499
1660580406.402927,37,0.9579346179962158
1660580482.963576,38,0.9574546813964844
1660580559.618962,39,0.9551622867584229
1660580636.198246,40,0.9581038355827332
1660580712.785557,41,0.9577606320381165
1660580789.302083,42,0.9609761238098145
1660580865.825812,43,0.9514815807342529
1660580942.43478,44,0.9602463841438293
1660581019.046878,45,0.9623385071754456
1660581095.958697,46,0.9617570638656616
1660581172.768438,47,0.9579805731773376
1660581249.446162,48,0.9604567885398865
1660581325.997722,49,0.958541750907898
